Date (UTC),Country (Epicenter),Region (Epicenter),Magnitude,Type,Origin,Depth (km),Intensity (MMI / JMA),Lat,Long,Fatalities,Injuries,displaced,Impact value (D),buildings damaged,buildings destroyed,Tsunami height
03.07.2019,Guatemala,Quiché,4.5,eq swarm,tectonic,,,15.65,-90.98,0,0,0,0.056,15,0,--
04.07.2019,China,Sichuan,5.6,aftershock,tectonic,8,,28.41,104.74,0,16,,0.704,,,--
04.07.2019,USA,California,6.4,earthquake,tectonic,11,,"35,705","-117,506",0,10,,0.548,,,--
05.07.2019,Poland,Lower Silesia,4.4,rockburst,mining,0.9,IV,51.54,16.1,1,5,0,0.514,0,0,--
06.07.2019,USA,California,7.1,earthquake,tectonic,8,IX,"35,766","-117,605",0,15,100,1.732,5000,39,--
07.07.2019,Indonesia,Maluku Islands,6.9,earthquake,tectonic,36,VI,0.523,"126,199",0,0,,0.038,10,,--
08.07.2019,Iran,Khuzestan,5.8,earthquake,tectonic,17,VIII,31.72,49.45,1,135,2616,2.105,3000,500,--
09.07.2019,Philippines,North Cotabato,5.6,earthquake,tectonic,10,VI,6.83,125.02,1,3,765,1.277,221,4,--
10.07.2019,Philippines,North Cotabato,4.9,aftershock,tectonic,9,V,6.84,125,0,70,0,1.273,0,0,--
12.07.2019,Indonesia,West Nusa Tenggara,5.3,earthquake,tectonic,43,,-9.1,117.85,0,0,0,0.040,7,1,--
12.07.2019,Philippines,Surigao del sur,5.5,earthquake,tectonic,5,VII,9.32,126.01,0,59,9609,2.331,2158,67,--
13.07.2019,India,Andhra Pradesh,,,,,,15.8,78.6,0,0,0,0.020,5,0,--
14.07.2019,Australia,Western Australia,6.6,earthquake,tectonic,,,"-18,347","120,285",0,0,0,0.004,1,0,--
14.07.2019,Indonesia,Maluku Utara,7.3,earthquake,tectonic,10,VIII,-0.529,"128,093",14,129,53076,3.031,1609,1256,20 cm
16.07.2019,Indonesia,Jawa Timur,5.7,earthquake,tectonic,91,VI,"-8,867","114,503",0,10,,0.626,68,2,--
19.07.2019,India,Aruchanal Pradesh,5.6,earthquake,tectonic,,,27.71,92.77,0,0,0,0.038,10,0,--
19.07.2019,Greece,Attika,5.1,earthquake,tectonic,13,VI,38.12,23.52,0,5,0,1.538,3200,90,--
21.07.2019,China,Yunnan,4.9,earthquake,tectonic,10,,26.16,100.62,0,0,,0.038,10,,--
22.07.2019,Venezuela,Merida,4.4,earthquake,tectonic,5,,"8,777","-71,455",0,0,0,0.004,1,0,--
22.07.2019,Iran,Hormozgan,4.9,earthquake,tectonic,13,,"26,626","55,085",0,0,0,0.042,11,0,--
24.07.2019,Brazil,Ceara,2.7,EQ swarm,tectonic,,,-5.07,-39.51,0,0,0,0.020,5,0,--
24.07.2019,India,Maharashtra,3.8,EQ swarm,tectonic,2,,20,72.9,1,1,,0.838,500,1,--
25.07.2019,Brazil,Ceara,3.1,EQ swarm,tectonic,,,-5.04,-39.57,0,0,0,0.038,10,0,--
26.07.2019,Philippines,Batanes,5.4,EQ Sequence,tectonic,,,20.78 ,122.05,9,64,261,1.569,36,185,--
28.07.2019,Indonesia,Banten,5.1,earthquake,tectonic,53,,"-6,976","106,212",0,0,0,0.016,4,0,--
29.07.2019,Germany,Baden-Württemberg,3.7,earthquake,tectonic,4,V,47.75,9.11,0,0,0,0.004,1,0,--
31.07.2019,El Salvador,La Paz,5.9,earthquake,tectonic,,V,13.37,-89.17,0,0,0,0.004,1,0,--
31.07.2019,Albania,Korçë,4.7,earthquake,tectonic,13,,40.51,20.79,0,0,0,0.020,5,0,--
07.2019,Botswana,Selebi-Phikwe,,EQ Sequence,mining,1,,-21.95,27.84,0,0,0,0.347,133,0,--
01.08.2019,Australia,Northern Territory,5.4,earthquake,tectonic,,,-19.86,133.76,0,0,0,0.038,10,0,--
01.08.2019,Chile,Libertador General Bernardo O'Higgins,6.6,earthquake,tectonic,20,,-34.23,-72.22,0,0,0,0.038,10,0,--
02.08.2019,Indonesia,Banten,6.9,earthquake,tectonic,53,,"-7,267","104,825",8,2,600,1.460,721,55,--
04.08.2019,Japan,Fukushima,6.2,earthquake,tectonic,45,,37.7,141.66,0,1,0,0.098,0,0,--
